__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_0_repetition_0,DONE,multithreads,79.109,24895.07,24.75,0.2,0.0,3996868.92
run_1_repetition_0,DONE,multiprocesses,39.726,6983.05,25.13,0.02,0.0,12708992.0
run_2_repetition_0,DONE,ppm,39.711,7402.22,24.94,0.16,0.0,41579081.14
run_3_repetition_0,DONE,mpi,43.947,7030.37,25.28,0.36,0.0,45030272.0
run_0_repetition_1,DONE,multithreads,82.081,25113.78,24.73,0.23,0.0,4021129.85
run_1_repetition_1,DONE,multiprocesses,38.004,6779.78,24.01,0.02,0.0,12429312.0
run_2_repetition_1,DONE,ppm,44.195,8103.56,25.86,0.17,0.0,42490496.0
run_3_repetition_1,DONE,mpi,39.428,6846.11,26.23,0.3,0.0,45040768.0
run_0_repetition_2,DONE,multithreads,86.303,26953.37,26.79,0.23,0.0,4021833.14
run_1_repetition_2,DONE,multiprocesses,37.878,7113.8,24.29,0.03,0.0,12657664.0
run_2_repetition_2,DONE,ppm,37.77,7536.43,23.69,0.18,0.0,42454016.0
run_3_repetition_2,DONE,mpi,39.651,6512.91,25.27,0.33,0.0,44201837.71
run_0_repetition_3,DONE,multithreads,86.413,27279.22,27.28,0.28,0.0,4027286.07
run_1_repetition_3,DONE,multiprocesses,38.0,6940.31,24.0,0.03,0.0,12693120.0
run_2_repetition_3,DONE,ppm,43.837,8142.54,25.53,0.19,0.0,42521728.0
run_3_repetition_3,DONE,mpi,39.611,6463.11,25.12,0.31,0.0,44157513.14
run_0_repetition_4,DONE,multithreads,79.525,25004.94,24.81,0.21,0.0,4006596.92
run_1_repetition_4,DONE,multiprocesses,39.874,6611.92,23.66,0.04,0.0,12301165.71
run_2_repetition_4,DONE,ppm,38.597,7937.88,25.26,0.2,0.0,42461568.0
run_3_repetition_4,DONE,mpi,41.134,6855.22,25.95,0.28,0.0,45042304.0
run_0_repetition_5,DONE,multithreads,82.797,25829.14,25.77,0.25,0.0,4009453.04
run_1_repetition_5,DONE,multiprocesses,38.374,7140.84,24.83,0.06,0.0,12606720.0
run_2_repetition_5,DONE,ppm,39.742,7376.04,24.97,0.18,0.0,41343232.0
run_3_repetition_5,DONE,mpi,42.607,6889.46,25.49,0.37,0.0,45108736.0
run_0_repetition_6,DONE,multithreads,82.447,25401.86,25.31,0.23,0.0,4036001.19
run_1_repetition_6,DONE,multiprocesses,38.004,6850.55,24.33,0.04,0.0,12626432.0
run_2_repetition_6,DONE,ppm,44.234,9191.88,25.88,0.28,0.0,43152384.0
run_3_repetition_6,DONE,mpi,42.742,7125.22,26.54,0.41,0.0,45094016.0
run_0_repetition_7,DONE,multithreads,85.192,26810.39,26.73,0.32,0.0,4020882.29
run_1_repetition_7,DONE,multiprocesses,37.899,7249.12,25.0,0.06,0.0,12704384.0
run_2_repetition_7,DONE,ppm,39.815,7533.29,25.05,0.15,0.0,42511104.0
run_3_repetition_7,DONE,mpi,37.605,6772.69,25.66,0.32,0.0,44791168.0
run_0_repetition_8,DONE,multithreads,82.513,25306.21,25.29,0.21,0.0,4015672.89
run_1_repetition_8,DONE,multiprocesses,37.879,7061.67,23.87,0.04,0.0,12744832.0
run_2_repetition_8,DONE,ppm,39.718,7375.24,25.22,0.16,0.0,41585225.14
run_3_repetition_8,DONE,mpi,39.528,6483.1,24.55,0.31,0.0,40754176.0
run_0_repetition_9,DONE,multithreads,82.864,25999.35,25.78,0.26,0.0,4014535.11
run_1_repetition_9,DONE,multiprocesses,39.053,6795.77,24.52,0.03,0.0,12654720.0
run_2_repetition_9,DONE,ppm,42.53,8148.45,25.02,0.15,0.0,42442624.0
run_3_repetition_9,DONE,mpi,39.475,6579.16,24.57,0.34,0.0,43984896.0
run_0_repetition_10,DONE,multithreads,93.162,28178.51,28.32,0.23,0.0,4027180.14
run_1_repetition_10,DONE,multiprocesses,39.937,6541.32,24.66,0.04,0.0,12272201.14
run_2_repetition_10,DONE,ppm,38.538,7994.57,25.08,0.16,0.0,42463616.0
run_3_repetition_10,DONE,mpi,44.057,6913.78,26.79,0.35,0.0,45073280.0
run_0_repetition_11,DONE,multithreads,82.929,25156.66,24.81,0.21,0.0,4010692.92
run_1_repetition_11,DONE,multiprocesses,39.882,6625.04,23.71,0.02,0.0,12306870.86
run_2_repetition_11,DONE,ppm,39.816,7300.06,24.56,0.18,0.0,41638765.71
run_3_repetition_11,DONE,mpi,42.441,6924.82,25.64,0.31,0.0,45145216.0
run_0_repetition_12,DONE,multithreads,85.366,26161.23,25.72,0.3,0.0,4010704.59
run_1_repetition_12,DONE,multiprocesses,44.09,7399.34,26.01,0.04,0.0,12652544.0
