__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_0_repetition_0,DONE,multithreads,125.77,38399.18,38.54,0.72,0.0,191740544.0
run_1_repetition_0,DONE,multiprocesses,38.698,7622.41,23.99,0.8,0.0,179441810.29
run_2_repetition_0,DONE,ppm,113.079,25013.45,44.59,14.05,0.0,2046151546.43
run_3_repetition_0,DONE,mpi,56.523,8087.14,32.67,1.92,0.0,555942400.0
run_0_repetition_1,DONE,multithreads,118.968,36655.36,36.64,0.64,0.0,191187860.21
run_1_repetition_1,DONE,multiprocesses,39.117,7632.16,24.3,0.8,0.0,179425133.71
run_2_repetition_1,DONE,ppm,116.614,25299.67,44.7,14.78,0.0,1978816256.0
run_3_repetition_1,DONE,mpi,56.06,7756.11,31.67,1.86,0.0,591525432.89
run_0_repetition_2,DONE,multithreads,121.596,36949.76,37.05,0.69,0.0,191123159.58
run_1_repetition_2,DONE,multiprocesses,38.626,8411.45,26.38,0.67,0.0,182828160.0
run_2_repetition_2,DONE,ppm,112.852,25201.99,45.16,13.83,0.0,1993572864.0
run_3_repetition_2,DONE,mpi,53.793,7597.97,32.46,1.83,0.0,574882019.56
run_0_repetition_3,DONE,multithreads,122.334,37654.6,37.62,0.65,0.0,191422358.97
run_1_repetition_3,DONE,multiprocesses,37.519,8147.34,24.51,0.78,0.0,182546560.0
run_2_repetition_3,DONE,ppm,113.584,25122.25,44.76,14.68,0.0,2131550297.04
run_3_repetition_3,DONE,mpi,50.152,7301.59,30.14,1.91,0.0,617384277.33
run_0_repetition_4,DONE,multithreads,129.072,38886.83,39.11,0.7,0.0,191739929.6
run_1_repetition_4,DONE,multiprocesses,39.579,7767.45,25.42,0.76,0.0,179501056.0
run_2_repetition_4,DONE,ppm,114.624,25321.2,45.07,13.12,0.0,1996138410.67
run_3_repetition_4,DONE,mpi,56.408,7971.18,32.1,1.73,0.0,531226214.4
run_0_repetition_5,DONE,multithreads,121.877,36923.52,37.09,0.68,0.0,191512845.47
run_1_repetition_5,DONE,multiprocesses,37.563,7894.18,24.69,0.82,0.0,179376128.0
run_2_repetition_5,DONE,ppm,112.859,25264.37,44.37,14.99,0.0,2156645019.83
run_3_repetition_5,DONE,mpi,52.382,6968.69,30.24,1.67,0.0,530883470.22
run_0_repetition_6,DONE,multithreads,125.75,37912.97,38.05,0.69,0.0,191476630.97
run_1_repetition_6,DONE,multiprocesses,37.787,8069.47,22.76,0.72,0.0,179635638.86
run_2_repetition_6,DONE,ppm,113.877,25420.21,44.16,15.12,0.0,2150900736.0
run_3_repetition_6,DONE,mpi,56.87,7801.66,32.19,1.62,0.0,619081955.56
run_0_repetition_7,DONE,multithreads,118.787,36221.79,36.09,0.63,0.0,186370236.63
run_1_repetition_7,DONE,multiprocesses,39.568,7771.16,24.24,0.77,0.0,179439030.86
run_2_repetition_7,DONE,ppm,112.442,25147.1,44.08,14.46,0.0,2068036207.3
run_3_repetition_7,DONE,mpi,50.483,7461.61,30.55,1.61,0.0,601574286.22
run_0_repetition_8,DONE,multithreads,122.288,37231.65,37.14,0.62,0.0,191453078.97
run_1_repetition_8,DONE,multiprocesses,39.109,7755.29,24.93,0.7,0.0,186509897.14
run_2_repetition_8,DONE,ppm,112.876,25012.37,45.11,13.84,0.0,2112513068.52
run_3_repetition_8,DONE,mpi,56.713,7714.93,33.19,1.93,0.0,550301388.8
run_0_repetition_9,DONE,multithreads,122.21,36743.7,36.54,0.62,0.0,191221571.37
run_1_repetition_9,DONE,multiprocesses,37.582,7775.42,24.21,0.79,0.0,179490523.43
run_2_repetition_9,DONE,ppm,112.047,25435.71,44.46,14.46,0.0,2122792870.96
run_3_repetition_9,DONE,mpi,52.279,7462.63,31.54,1.8,0.0,593436785.78
run_0_repetition_10,DONE,multithreads,118.73,36452.04,36.69,0.56,0.0,191202007.58
run_1_repetition_10,DONE,multiprocesses,40.567,8595.08,25.35,0.7,0.0,182675328.0
