__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_0_repetition_0,DONE,multithreads,25.206,11160.37,1.69,2.03,0.0,3611733.33
run_1_repetition_0,DONE,multiprocesses,17.131,12578.94,1.94,2.23,0.0,11135054.77
run_2_repetition_0,DONE,ppm,22.727,11465.33,2.57,1.86,0.0,44604160.0
run_3_repetition_0,DONE,mpi,22.664,11227.62,2.22,2.13,0.0,46576725.33
run_0_repetition_1,DONE,multithreads,25.941,9287.59,1.63,1.87,0.0,3589585.45
run_1_repetition_1,DONE,multiprocesses,25.385,12174.47,1.63,1.87,0.0,11247064.62
run_2_repetition_1,DONE,ppm,28.858,11083.0,2.59,1.9,0.0,44195095.27
run_3_repetition_1,DONE,mpi,29.512,14907.41,2.19,1.85,0.0,47693312.0
run_0_repetition_2,DONE,multithreads,23.498,9460.45,1.57,1.83,0.0,3591447.27
run_1_repetition_2,DONE,multiprocesses,21.833,11760.47,1.52,1.62,0.0,11286764.31
run_2_repetition_2,DONE,ppm,23.484,10327.12,2.9,2.46,0.0,43800985.6
run_3_repetition_2,DONE,mpi,24.023,11056.65,2.22,2.05,0.0,46619818.67
run_0_repetition_3,DONE,multithreads,25.378,11604.31,1.47,1.83,0.0,3643864.62
run_1_repetition_3,DONE,multiprocesses,22.066,9770.79,1.76,2.03,0.0,11071767.27
run_2_repetition_3,DONE,ppm,23.782,15742.4,2.8,2.24,0.0,45572160.0
run_3_repetition_3,DONE,mpi,21.908,9108.55,2.3,2.11,0.0,45757440.0
run_0_repetition_4,DONE,multithreads,29.585,12479.87,1.6,1.78,0.0,3667163.43
run_1_repetition_4,DONE,multiprocesses,17.303,9133.06,1.51,1.57,0.0,10938470.4
run_2_repetition_4,DONE,ppm,24.92,10882.19,2.76,2.3,0.0,44215482.18
run_3_repetition_4,DONE,mpi,19.731,11909.37,2.17,2.02,0.0,46911015.38
run_0_repetition_5,DONE,multithreads,19.409,9126.17,1.27,1.47,0.0,3550924.8
run_1_repetition_5,DONE,multiprocesses,29.568,13147.2,1.6,1.93,0.0,11116836.57
run_2_repetition_5,DONE,ppm,27.137,15898.56,2.75,2.16,0.0,45596160.0
run_3_repetition_5,DONE,mpi,22.038,8932.13,2.29,1.84,0.0,45666201.6
run_0_repetition_6,DONE,multithreads,22.69,12708.01,1.48,1.85,0.0,3669357.71
run_1_repetition_6,DONE,multiprocesses,25.461,9233.67,1.48,1.77,0.0,10954547.2
run_2_repetition_6,DONE,ppm,26.509,15411.57,2.69,2.2,0.0,45383065.6
